price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,bedrooms^2,bathrooms^2,sqft_living^2,sqft_lot^2,floors^2,waterfront^2,view^2,condition^2,grade^2,sqft_above^2,sqft_basement^2,yr_built^2,yr_renovated^2,lat^2,long^2,sqft_living15^2,sqft_lot15^2
221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,47.5112,-122.257,1340,5650,9,1,1392400,31922500,1,0,0,9,49,1392400,0,3822025,0,2257.314125,14946.77405,1795600,31922500
538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,47.721,-122.319,1690,7639,9,5.0625,6604900,52446564,4,0,0,9,49,4708900,160000,3806401,3964081,2277.293841,14961.93776,2856100,58354321
180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,47.7379,-122.233,2720,8062,4,1,592900,100000000,1,0,0,9,36,592900,0,3736489,0,2278.907096,14940.90629,7398400,64995844
604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,47.5208,-122.393,1360,5000,16,9,3841600,25000000,1,0,0,25,49,1102500,828100,3861225,0,2258.226433,14980.04645,1849600,25000000
510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,47.6168,-122.045,1800,7503,9,4,2822400,65286400,1,0,0,9,64,2822400,0,3948169,0,2267.359642,14894.98203,3240000,56295009
1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,47.6561,-122.005,4760,101930,16,20.25,29376400,10389724900,1,0,0,9,121,15132100,2340900,4004001,0,2271.103867,14885.22003,22657600,10389724900
257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,47.3097,-122.327,2238,6819,9,5.0625,2941225,46498761,4,0,0,9,49,2941225,0,3980025,0,2238.207714,14963.89493,5008644,46498761
291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,47.4095,-122.315,1650,9711,9,2.25,1123600,94303521,1,0,0,9,49,1123600,0,3853369,0,2247.66069,14960.95923,2722500,94303521
229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,47.5123,-122.337,1780,8113,9,1,3168400,55800900,1,0,0,9,49,1102500,532900,3841600,0,2257.418651,14966.34157,3168400,65820769
323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,47.3684,-122.031,2390,7570,9,6.25,3572100,43033600,4,0,0,9,49,3572100,0,4012009,0,2243.765319,14891.56496,5712100,57304900
662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,47.6007,-122.145,2210,8925,9,6.25,12673600,95961616,1,0,0,9,64,3459600,2890000,3861225,0,2265.82664,14919.40103,4884100,79655625
468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,47.69,-122.292,1330,6000,4,1,1345600,36000000,1,0,0,16,49,739600,90000,3771364,0,2274.3361,14955.33326,1768900,36000000
310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,47.7558,-122.229,1780,12697,9,1,2044900,396049801,2.25,0,0,16,49,2044900,0,3713329,0,2280.616434,14939.92844,3168400,161213809
400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,47.6127,-122.045,1370,10208,9,3.0625,1876900,93702400,1,0,0,16,49,1876900,0,3908529,0,2266.969201,14894.98203,1876900,104203264
530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,47.67,-122.394,1360,4850,25,4,3276100,23522500,2.25,0,0,9,49,3276100,0,3610000,0,2272.4289,14980.29124,1849600,23522500
650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,47.5714,-122.375,2140,4000,16,9,8702500,25000000,4,0,9,9,81,3920400,940900,3916441,0,2263.038098,14975.64063,4579600,16000000
395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,47.7277,-121.962,1890,14018,9,4,3572100,197121600,4,0,0,9,49,3572100,0,3976036,0,2277.933347,14874.72944,3572100,196504324
485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,47.6648,-122.343,1610,4300,16,1,2560000,18490000,2.25,0,0,16,49,2560000,0,3671056,0,2271.933159,14967.80965,2592100,18490000
189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,47.3089,-122.21,1060,5095,4,1,1440000,97022500,1,0,0,16,49,1440000,0,3690241,0,2238.132019,14935.2841,1123600,25959025
