battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,px_height,px_width,ram,talk_time,touch_screen,wifi,price_range
842,0,2.2,0,1,0,7,0.6,188,2,20,756,2549,19,0,1,Mid_Low
1021,1,0.5,1,0,1,53,0.7,136,3,905,1988,2631,7,1,0,Mid
563,1,0.5,1,2,1,41,0.9,145,5,1263,1716,2603,9,1,0,Mid
615,1,2.5,0,0,0,10,0.8,131,6,1216,1786,2769,11,0,0,Mid
1821,1,1.2,0,13,1,44,0.6,141,2,1208,1212,1411,15,1,0,Mid_Low
1859,0,0.5,1,3,0,22,0.7,164,1,1004,1654,1067,10,0,0,Mid_Low
1821,0,1.7,0,4,1,10,0.8,139,8,381,1018,3220,18,0,1,High
1954,0,0.5,1,0,0,24,0.8,187,4,512,1149,700,5,1,1,Low
1445,1,0.5,0,0,0,53,0.7,174,7,386,836,1099,20,0,0,Low
509,1,0.6,1,2,1,9,0.1,93,5,1137,1224,513,12,0,0,Low
769,1,2.9,1,0,0,9,0.1,182,5,248,874,3946,7,0,0,High
1520,1,2.2,0,5,1,33,0.5,177,8,151,1005,3826,13,1,1,High
1815,0,2.8,0,2,0,33,0.6,159,4,607,748,1482,2,0,0,Mid_Low
803,1,2.1,0,7,0,17,1,198,4,344,1440,2680,4,0,1,Mid
1866,0,0.5,0,13,1,52,0.7,185,1,356,563,373,3,0,1,Low
775,0,1,0,3,0,46,0.7,159,2,862,1864,568,11,1,1,Low
838,0,0.5,0,1,1,13,0.1,196,8,984,1850,3554,19,0,1,High
595,0,0.9,1,7,1,23,0.1,121,3,441,810,3752,18,1,0,High
1131,1,0.5,1,11,0,49,0.6,101,5,658,878,1835,16,1,0,Mid_Low
682,1,0.5,0,4,0,19,1,121,4,902,1064,2337,18,1,1,Mid_Low
772,0,1.1,1,12,0,39,0.8,81,7,1314,1854,2819,3,1,0,High
1709,1,2.1,0,1,0,13,1,156,2,974,1385,3283,15,0,0,High
1949,0,2.6,1,4,0,47,0.3,199,4,407,822,1433,20,0,1,Mid_Low
1602,1,2.8,1,4,1,38,0.7,114,3,466,788,1037,20,0,0,Low
503,0,1.2,1,5,1,8,0.4,111,3,201,1245,2583,12,0,0,Mid_Low
961,1,1.4,1,0,1,57,0.6,114,8,291,1434,2782,7,1,1,Mid
519,1,1.6,1,7,1,51,0.3,132,4,550,645,3763,4,0,1,High
956,0,0.5,0,1,1,41,1,143,7,511,1075,3286,12,1,0,High
1453,0,1.6,1,12,1,52,0.3,96,2,187,1311,2373,10,1,1,Mid
851,0,0.5,0,3,0,21,0.4,200,5,1171,1263,478,10,0,1,Low
1579,1,0.5,1,0,0,5,0.2,88,7,1358,1739,3532,12,0,1,High
1319,1,0.9,0,3,1,41,0.9,107,1,85,1152,2227,3,1,1,Mid_Low
1310,1,2.2,1,0,1,51,0.6,100,4,178,1919,3845,12,1,0,High
725,0,1.3,1,16,0,60,0.4,160,8,1134,1249,1326,15,0,0,Mid_Low
589,1,2.3,1,1,0,61,0.6,160,4,429,815,2113,2,0,1,Mid_Low
1725,1,1.6,1,6,1,6,0.5,119,2,609,1307,3429,4,1,0,High
790,0,2,1,16,1,11,0.3,87,6,347,730,3169,2,0,1,Mid
560,0,0.5,1,15,0,50,0.3,159,2,1448,1613,2150,11,1,0,Mid
1347,0,2.9,0,5,0,44,0.6,132,1,434,967,2484,11,0,1,Mid
1646,1,2.3,0,8,1,41,0.2,185,2,1725,1932,3339,19,1,0,High
1253,1,0.5,1,5,1,5,0.2,152,2,685,714,1878,4,1,0,Mid_Low
1656,0,1,0,5,1,34,0.1,166,3,880,1456,1629,14,1,0,Mid_Low
1514,0,2.9,0,0,0,27,0.2,118,3,186,1810,1152,20,1,1,Mid_Low
1723,1,1.1,1,1,0,42,1,164,8,202,1791,3587,3,0,0,High
1054,1,1.8,1,3,1,40,0.8,196,7,27,774,2296,12,0,1,Mid_Low
596,0,2.1,1,9,0,64,0.8,111,8,885,1854,3238,10,0,0,High
1547,1,3,1,2,1,14,0.7,198,3,1042,1832,2059,15,0,1,Mid
1760,0,1.4,1,5,0,63,0.8,127,8,1382,1383,2053,16,1,0,Mid
1654,1,1.5,1,0,1,43,0.3,109,2,546,629,3112,10,1,0,High
1457,0,1.9,1,1,1,16,0.3,102,3,1013,1287,1440,12,0,1,Mid_Low
1073,1,0.5,1,0,0,51,0.5,145,7,690,804,2908,18,1,0,Mid
1936,0,2.1,1,10,1,46,0.6,104,3,667,1036,2552,13,0,0,Mid
987,0,1.3,1,0,1,61,0.4,107,3,581,820,3963,20,0,1,High
1757,0,0.5,0,8,0,49,0.5,180,6,265,713,2056,4,0,0,Mid_Low
1063,0,1.4,1,2,1,48,1,128,5,127,683,2910,9,1,1,Mid
1484,0,3,0,3,0,12,0.6,134,3,916,969,1457,20,1,0,Mid_Low
1720,0,2,0,15,1,55,0.5,168,2,753,1353,2148,5,1,1,Mid
702,0,2.6,1,2,1,9,0.7,141,3,504,1570,2955,19,0,0,Mid
616,0,1.9,1,13,1,44,0.8,81,3,651,1618,3366,13,1,0,High
1358,1,0.5,0,11,1,36,0.3,155,4,1565,1858,3068,4,1,0,High
1866,0,1.4,0,0,0,30,0.5,182,3,108,1781,3834,8,0,0,High
1166,0,1.5,1,0,1,43,0.8,80,4,205,603,3993,7,1,0,High
1448,1,0.5,1,6,1,45,0.8,138,7,570,1724,3378,2,1,1,High
1407,1,2.4,0,1,1,22,0.7,104,4,1172,1217,2192,13,0,1,Mid
1038,0,1.2,0,3,0,43,0.7,141,1,4,638,3709,12,1,1,High
819,0,0.6,1,8,1,42,0.9,188,6,339,1242,1814,13,0,1,Mid_Low
1199,1,2.5,1,15,1,16,0.2,116,4,1168,1552,3448,10,0,1,High
1103,0,1,1,6,0,29,0.7,111,6,990,1486,1837,16,1,1,Mid_Low
1589,1,0.6,1,0,1,58,0.9,85,7,319,1206,3464,6,1,1,High
999,0,2.9,1,11,1,64,0.2,199,4,1397,1616,2593,16,1,0,Mid
1510,1,0.9,1,2,0,45,0.9,180,5,708,1752,3484,11,1,1,High
1008,0,0.8,0,11,0,61,1,114,3,1077,1122,2009,11,0,0,Mid_Low
1127,1,2.9,1,5,1,57,0.8,163,1,928,1049,2048,17,1,1,Mid_Low
1412,1,2.4,0,5,0,25,0.8,96,8,516,1894,837,4,0,1,Mid_Low
1083,1,2.9,1,1,1,64,0.8,178,3,1025,1118,3210,4,0,0,High
668,0,0.5,1,0,0,3,0.1,155,5,666,1203,2746,8,1,1,Mid
1309,0,1.1,1,0,0,33,0.5,100,4,557,1402,2334,11,0,1,Mid
1724,0,2,1,2,1,57,0.5,177,3,1605,1924,2822,16,1,0,High
1977,1,2,1,7,1,54,1,171,7,1226,1242,1971,14,1,0,Mid
885,0,2.3,1,0,1,15,0.4,103,7,769,802,1410,5,1,1,Low
879,1,2.5,0,11,1,14,0.7,83,6,403,1105,349,2,0,1,Low
1322,0,1.7,1,6,0,7,0.8,140,3,177,1990,1418,12,1,0,Mid_Low
1137,1,1,0,18,0,7,1,196,3,942,1179,3616,12,1,1,High
1355,0,2.3,0,10,1,23,0.2,132,5,651,891,880,8,1,0,Low
1665,1,0.5,0,3,1,60,0.2,194,6,1572,1684,1601,14,0,0,Mid
657,0,2.5,0,0,0,37,0.7,141,2,476,961,1412,18,1,0,Low
593,0,0.5,0,6,0,31,0.4,156,7,1233,1317,1692,7,0,0,Mid_Low
1883,1,0.5,0,3,1,10,0.3,146,6,836,1739,2600,20,0,0,High
1732,1,1.1,0,4,1,12,0.8,119,8,824,881,1308,11,0,1,Mid_Low
543,0,0.5,0,0,0,57,0.7,192,5,391,984,2413,15,0,0,Mid_Low
1939,1,2.8,1,0,1,55,0.6,199,4,320,520,1047,18,1,0,Low
553,0,2.4,1,1,1,8,0.5,121,7,325,902,1204,8,1,1,Low
832,0,0.7,1,2,1,39,0.7,103,4,125,1504,1799,11,0,1,Mid_Low
1661,0,1.9,1,5,0,23,1,172,5,846,1634,2676,11,1,1,High
1657,1,2.4,0,3,0,42,0.1,198,5,1770,1796,2597,14,0,0,High
1135,1,2,1,0,0,46,0.3,83,1,293,1846,3029,9,1,1,High
1775,1,1.5,0,3,0,41,0.1,163,1,1633,1869,2343,14,1,1,High
783,0,1.8,1,0,1,43,1,106,3,1198,1471,2016,18,1,0,Mid_Low
617,1,2.3,0,0,0,32,0.5,199,7,768,874,2213,7,0,0,Mid_Low
867,0,1.4,1,0,1,4,0.7,135,6,70,1974,790,3,1,0,Low
1310,1,1.1,1,13,0,7,1,194,5,117,513,3182,5,1,0,Mid
1804,0,0.5,0,9,1,22,0.6,153,7,1158,1244,3472,20,0,1,High
1900,1,2.3,0,1,1,18,0.2,89,7,1055,1661,2871,13,1,1,High
909,1,1.4,0,0,0,53,0.3,82,8,635,973,3187,4,0,0,Mid
1084,1,2.6,0,3,1,40,0.9,107,3,322,771,1945,10,1,0,Mid_Low
1308,0,1.3,1,8,0,46,0.9,199,1,275,989,488,9,1,0,Low
1778,0,0.5,0,0,0,15,0.5,102,3,1445,1954,1214,14,0,0,Mid_Low
1701,1,1.6,1,3,0,10,0.3,194,8,550,1338,2598,6,1,0,Mid
772,1,2.4,1,1,1,10,0.5,80,4,1242,1712,3242,4,1,0,High
825,1,0.5,1,7,0,52,0.9,130,3,597,863,3534,6,1,0,High
1379,0,1.1,0,5,1,36,0.8,200,2,538,1376,3426,17,1,1,High
1166,0,2,0,3,1,25,0.8,198,5,59,1203,2488,15,0,0,Mid
1659,0,2.8,0,5,0,16,0.6,89,1,819,902,3255,9,0,1,High
826,1,2.4,1,0,1,58,0.3,88,4,179,786,2863,18,0,1,Mid
1564,0,2.3,0,4,1,25,0.5,189,6,1259,1965,1496,7,1,1,Mid_Low
1957,0,0.9,1,11,0,31,0.6,181,3,396,1732,3801,7,0,1,High
1571,0,1.4,0,0,1,19,0.1,100,6,713,1398,666,13,1,0,Low
1414,0,2,1,2,0,54,0.8,99,7,262,829,3799,7,0,1,High
1790,0,2.5,1,9,0,2,0.1,184,1,622,792,1366,20,1,1,Mid_Low
645,0,0.5,0,1,0,41,1,197,7,327,580,2962,4,1,1,Mid
668,0,2.9,1,7,0,30,0.2,195,8,522,1056,2399,7,1,1,Mid_Low
1652,1,1.1,1,1,0,36,0.7,89,4,313,1264,2338,20,0,0,Mid
1213,1,0.5,0,0,0,16,0.5,108,5,226,1248,2700,9,0,1,Mid
1272,1,2.5,1,0,0,22,0.9,133,6,605,669,2235,4,0,0,Mid_Low
866,0,0.5,1,5,1,46,0.5,179,8,692,1686,3825,2,1,1,High
536,0,2.4,1,12,1,3,0.3,182,7,1386,1539,284,4,1,0,Low
523,0,2.6,1,1,0,14,0.1,155,8,304,1042,1427,9,1,0,Low
1753,0,0.5,1,0,1,31,0.1,134,1,1590,1926,1324,17,0,1,Mid
1218,0,1.8,1,1,1,14,0.5,147,3,229,616,398,5,0,0,Low
1537,1,2.5,0,4,1,43,0.3,137,1,839,1131,3685,17,1,1,High
786,0,2.2,1,0,0,33,0.5,141,7,507,1697,2390,5,0,1,Mid
1678,0,2.1,0,3,1,64,0.9,134,3,436,536,278,10,1,0,Low
1814,0,1.4,1,1,1,9,0.4,141,2,756,786,3556,16,0,0,High
